biomarker,refid,author_s,title,year,domain,domain_other,cancer_specific,diabetes_specific,outcome,outcome_specific,biomarker_specific2,biomarker_specific,behavior,collection,frequency,communication,doi,pmid,ur_ls
Anthropometry,126,"Adachi, Y., Sato, C., Yamatsu, K., Ito, S., Adachi, K., Yamagami, T.",A randomized controlled trial on the long-term effects of a 1-month behavioral weight control program assisted by computer tailored advice,2007,Overweight/Obesity,NA,NA,NA,Weight,NA,Weight/BMI,Weight/BMI,Diet,Self,More than once,Device/One-way,10.1016/j.brat.2006.03.017,16713991,NA
Anthropometry,126,"Adachi, Y., Sato, C., Yamatsu, K., Ito, S., Adachi, K., Yamagami, T.",A randomized controlled trial on the long-term effects of a 1-month behavioral weight control program assisted by computer tailored advice,2007,Overweight/Obesity,NA,NA,NA,Weight,NA,Weight/BMI,Weight/BMI,Physical activity,Self,More than once,Device/One-way,10.1016/j.brat.2006.03.017,16713991,NA
Anthropometry,126,"Adachi, Y., Sato, C., Yamatsu, K., Ito, S., Adachi, K., Yamagami, T.",A randomized controlled trial on the long-term effects of a 1-month behavioral weight control program assisted by computer tailored advice,2007,Overweight/Obesity,NA,NA,NA,Weight,NA,Weight/BMI,Weight/BMI,Sleep,Self,More than once,Device/One-way,10.1016/j.brat.2006.03.017,16713991,NA
Anthropometry,126,"Adachi, Y., Sato, C., Yamatsu, K., Ito, S., Adachi, K., Yamagami, T.",A randomized controlled trial on the long-term effects of a 1-month behavioral weight control program assisted by computer tailored advice,2007,Overweight/Obesity,NA,NA,NA,Weight,NA,Weight/BMI,Weight/BMI,Stress management,Self,More than once,Device/One-way,10.1016/j.brat.2006.03.017,16713991,NA
Lipids,152,"Addley, K., Boyd, S., Kerr, R., McQuillan, P., Houdmont, J., McCrory, M.","The impact of two workplace-based health risk appraisal interventions on employee lifestyle parameters, mental health and work ability: results of a randomized controlled trial",2014,Health promotion,NA,NA,NA,Physical ability,NA,Lipids,Lipids,Alcohol reduction,Other collection types,Once,One-way,https://dx.doi.org/10.1093/her/cyt113,24399261,NA
Lipids,152,"Addley, K., Boyd, S., Kerr, R., McQuillan, P., Houdmont, J., McCrory, M.","The impact of two workplace-based health risk appraisal interventions on employee lifestyle parameters, mental health and work ability: results of a randomized controlled trial",2014,Health promotion,NA,NA,NA,Physical ability,NA,Lipids,Lipids,Diet,Other collection types,Once,One-way,https://dx.doi.org/10.1093/her/cyt113,24399261,NA
Lipids,152,"Addley, K., Boyd, S., Kerr, R., McQuillan, P., Houdmont, J., McCrory, M.","The impact of two workplace-based health risk appraisal interventions on employee lifestyle parameters, mental health and work ability: results of a randomized controlled trial",2014,Health promotion,NA,NA,NA,Physical ability,NA,Lipids,Lipids,Physical activity,Other collection types,Once,One-way,https://dx.doi.org/10.1093/her/cyt113,24399261,NA
Lipids,152,"Addley, K., Boyd, S., Kerr, R., McQuillan, P., Houdmont, J., McCrory, M.","The impact of two workplace-based health risk appraisal interventions on employee lifestyle parameters, mental health and work ability: results of a randomized controlled trial",2014,Health promotion,NA,NA,NA,Physical ability,NA,Lipids,Lipids,Smoking reduction,Other collection types,Once,One-way,https://dx.doi.org/10.1093/her/cyt113,24399261,NA
Lipids,152,"Addley, K., Boyd, S., Kerr, R., McQuillan, P., Houdmont, J., McCrory, M.","The impact of two workplace-based health risk appraisal interventions on employee lifestyle parameters, mental health and work ability: results of a randomized controlled trial",2014,Health promotion,NA,NA,NA,Physical ability,NA,Lipids,Lipids,Stress management,Other collection types,Once,One-way,https://dx.doi.org/10.1093/her/cyt113,24399261,NA
Lipids,152,"Addley, K., Boyd, S., Kerr, R., McQuillan, P., Houdmont, J., McCrory, M.","The impact of two workplace-based health risk appraisal interventions on employee lifestyle parameters, mental health and work ability: results of a randomized controlled trial",2014,Health promotion,NA,NA,NA,Physical ability,NA,Lipids,Lipids,Alcohol reduction,Other collection types,Once,Real-time,https://dx.doi.org/10.1093/her/cyt113,24399261,NA
