"Refid","User","Level","Author(s)","Title ","Year","Domain","Domain_comment","","","Outcome","Outcome_comment","Biological measures","Did at least 1 group use CGM for glucose measurement?  ","Risk","Behaviors","Collection","Frequency of feedback","Communication","Theories ","Was the behavior change theory used to guide the study design? "
126,"Kelli.Richardson,Michelle.Jospe",3,"Adachi, Y., Sato, C., Yamatsu, K., Ito, S., Adachi, K., Yamagami, T.","A randomized controlled trial on the long-term effects of a 1-month behavioral weight control program assisted by computer tailored advice",2007,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity,Sleep,Stress management",Self-measurement,"More than once",Device/One-way,"None explicitly stated",
152,"Kelli.Richardson,Michelle.Jospe",3,"Addley, K., Boyd, S., Kerr, R., McQuillan, P., Houdmont, J., McCrory, M.","The impact of two workplace-based health risk appraisal interventions on employee lifestyle parameters, mental health and work ability: results of a randomized controlled trial",2014,"General health promotion",,,,"Physical ability improvement",,Lipids,,Yes,"Alcohol use cessation/reduction,Diet,Physical activity,Smoking cessation/reduction,Stress management",Other,Once,"One-way,Real-time","Transtheoretical Model","No, theory acknowledged in discussion"
185,"Kelli.Richardson,Michelle.Jospe",3,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.","Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial",2016,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"Diet,Medication/treatment use or adherence,Physical activity","Self-measurement,Other","Once,More than once","Real-time,Device/Real-time","None explicitly stated",
200,"Kelli.Richardson,Michelle.Jospe",3,"Agarwal, P., Mukerji, G., Desveaux, L., Ivers, N. M., Bhattacharyya, O., Hensel, J. M., Shaw, J., Bouck, Z., Jamieson, T., Onabajo, N., Cooper, M., Marani, H., Jeffs, L., Bhatia, R. S.","Mobile App for Improved Self-Management of Type 2 Diabetes: Multicenter Pragmatic Randomized Controlled Trial",2019,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,,No,"Diet,Physical activity",Self-measurement,"More than once",Device/One-way,"Transtheoretical Model","Yes, study design guided by theory"
276,"Kelli.Richardson,Michelle.Jospe",3,"Ahn, W. K., Lebowitz, M. S.","An experiment assessing effects of personalized feedback about genetic susceptibility to obesity on attitudes towards diet and exercise",2018,Overweight/Obesity,,,,"Behavior change",,Genetics,,No,"Diet,Physical activity",Self-measurement,Once,One-way,"None explicitly stated",
283,"Kelli.Richardson,Michelle.Jospe",3,"Ahring, K. K., Ahring, J. P., Joyce, C., Farid, N. R.","Telephone modem access improves diabetes control in those with insulin-requiring diabetes",1992,Diabetes,,,Unspecified,"Glycemic control",,Glucose,,No,Diet,Self-measurement,"More than once",Device/Real-time,"None explicitly stated",
288,"Kelli.Richardson,Michelle.Jospe",3,"Aiello, L. P., Ayala, A. R., Antoszyk, A. N., Arnold-Bush, B., Baker, C., Bressler, N. M., Elman, M. J., Glassman, A. R., Jampol, L. M., Melia, M., Nielsen, J., Wolpert, H. A., Diabetic Retinopathy Clinical Research, Network","Assessing the Effect of Personalized Diabetes Risk Assessments During Ophthalmologic Visits on Glycemic Control: A Randomized Clinical Trial",2015,Diabetes,,,"Type 1 diabetes,Type 2 diabetes","Glycemic control",,"Blood pressure,HbA1c,Retinopathy severity",,Yes,"None explicitly stated",Other,"More than once",Real-time,"None explicitly stated",
307,"Kelli.Richardson,Michelle.Jospe",3,"Ajjan, R. A., Jackson, N., Thomson, S. A.","Reduction in HbA1c using professional flash glucose monitoring in insulin-treated type 2 diabetes patients managed in primary and secondary care settings: A pilot, multicentre, randomised controlled trial",2019,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,No,No,"None explicitly stated",Self-measurement,"More than once",Device,"None explicitly stated",
351,"Kelli.Richardson,Michelle.Jospe",3,"Al-Ofi, E. A., Mosli, H. H., Ghamri, K. A., Ghazali, S. M.","Management of postprandial hyperglycaemia and weight gain in women with gestational diabetes mellitus using a novel telemonitoring system",2019,Diabetes,,,"Gestational diabetes","Glycemic control",,"Glucose,Weight/BMI",No,No,Diet,Self-measurement,"More than once",Device/One-way,"None explicitly stated",
372,"Kelli.Richardson,Michelle.Jospe",3,"Alanzi, T., Alanazi, N. R., Istepanian, R., Philip, N.","Evaluation of the effectiveness of mobile diabetes management system with social networking and cognitive behavioural therapy (CBT) for T2D",2018,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,No,No,"None explicitly stated",Self-measurement,"More than once",Device/One-way,"None explicitly stated",
422,"Kelli.Richardson,Michelle.Jospe",3,"Alemi, F., Higley, P.","Reaction to ""talking"" computers assessing health risks",1995,"General health promotion",,,,"Behavior change",,"Blood pressure,Lipids,Weight/BMI",,Yes,"Alcohol use cessation/reduction,Physical activity,Seat belt use,Smoking cessation/reduction",Algorithm,Once,One-way,"None explicitly stated",
426,"Kelli.Richardson,Michelle.Jospe",3,"Alencar, M., Johnson, K., Gray, V., Mullur, R., Gutierrez, E., Dionico, P.","Telehealth-Based Health Coaching Increases m-Health Device Adherence and Rate of Weight Loss in Obese Participants",2020,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once",Device/One-way/Real-time,"None explicitly stated",
428,"Kelli.Richardson,Michelle.Jospe",3,"Alencar, M. K., Johnson, K., Mullur, R., Gray, V., Gutierrez, E., Korosteleva, O.","The efficacy of a telemedicine-based weight loss program with video conference health coaching support",2019,Overweight/Obesity,,,,"Weight management ",,"Blood pressure,Body composition/Body fat,Heart rate",,No,"Diet,Physical activity,Stress management",Self-measurement,"More than once","Device,Device/Real-time","None explicitly stated",
